East North Elevation Code
X79   
506465.718 1861142.74 144.388 สวน
506470.527 1861145.955 144.2 สวน
506475.454 1861149.25 143.974 สวน
506480.811 1861152.831 143.479 สวน
506485.858 1861156.205 143.263 สวน
506490.693 1861159.437 143.098 สวน
506494.491 1861161.977 142.859 สวน
506500.103 1861165.729 142.427 สวน
506506.711 1861170.147 141.924 สวน
506512.097 1861173.748 141.699 สวน
506518.427 1861177.98 141.502 สวน
506524.496 1861182.038 141.212 สวน
506535.06 1861189.1 140.695 สวน
506541.393 1861193.335 140.48 สวน
#   
X78   
506441.623 1861176.921 144.115 สวน
506444.036 1861179.667 143.97 สวน
506448.037 1861184.221 143.611 สวน
506448.084 1861184.274 143.612 สวน
506453.538 1861190.481 143.253 สวน
506458.931 1861196.62 143.066 สวน
506464.086 1861202.487 142.644 สวน
506470.188 1861209.432 142.251 สวน
506472.295 1861211.83 142.128 cl
506474.273 1861214.082 142.045 สวน
506479.077 1861219.549 141.731 สวน
506484.502 1861225.724 141.467 สวน
506490.378 1861232.412 141.076 สวน
506496.359 1861239.218 140.733 สวน
506502.432 1861246.131 140.396 สวน
506508.022 1861252.493 140.082 สวน
506512.698 1861257.814 139.895 สวน
#   
